from,to,cost
50254,50028,1.1684232593723
50254,50189,1.08733232018333
50254,50382,0.667143629358825
50255,50381,0.843657653087176
50255,50357,0.124666666666667
50255,50175,0.224188017163424
50256,50136,0.124666666666667
50256,50322,0.124666666666667
50257,50257,1.83564442941478
50257,50124,4.21047113710037
50257,50277,1.98200592952943
50257,50468,0.749012661304013
50258,50195,2.8534319970227
50258,50150,8.40120298743842
50259,50259,4.38074584199984
50259,50035,5.93165533010569
50259,50356,1.92887055712652
50259,50118,1.13755587488197
50259,50310,6.02873212988304
50259,50343,14.394398260249801
50259,50361,6.18645954643464
50259,50351,7.3351852735653
50260,50352,1.43239832123193
50260,50107,4.11545844151458
50260,50021,3.61268028084871
50261,50292,1.7296061813693
50261,50414,3.15093879490232
50261,50078,1.25947829337492
50262,50130,5.67422450071163
50263,50472,4.32360646564112
50263,50350,4.98648863447915
50263,50742,2.7569310771633
50263,50079,4.11616991023939
50264,50449,4.80522784481399
50264,50487,3.41194510149315
50264,50040,0.875581886826697
50264,50250,1.14963075737017
50264,50167,0.742588187496799
50264,50269,4.48703276251121
50264,50398,4.83104832852792
50265,50366,1.22653436140021
50265,50279,0.435509307528192
50266,50336,0.790991893887117
50266,50528,0.681916783293929
50266,50533,2.0707706524226
50266,50359,10.850536312437715
50266,50152,8.807333429554095
50266,50266,1.61587121303861
50266,50151,5.987113803788075
50267,50432,3.15818272738196
50267,50196,0.189065517476317
50267,50382,0.686261169733316
50268,50312,0.171426988425863
50268,50322,0.224791308196785
50268,50278,1.4023402956399
50269,50040,0.997675751717765
50269,50264,4.48703276251121
50270,50185,3.33074963344297
50270,50063,2.65988409094388
50271,50272,1.96032430817659
50271,50023,10.0031291996811
50272,50129,0.328942476333981
50272,50619,0.579629920070414
50272,50117,2.77621073299096
50272,50599,1.5381920422166
50272,50271,1.96032430817659
50273,50467,0.976383112370455
50273,50539,0.178483151991625
50273,50534,7.85868648921741
50273,50537,0.719555300214358
50274,50347,4.13469429568766
50274,50342,4.56142431366716
50275,50161,7.51696184414468
50275,50002,3.07246425672563
50275,50355,3.38186311384538
50275,50119,2.34070766042368
50276,50282,1.59176850609932
50276,50158,1.43910911671327
50277,50257,0.825835803970598
50277,50370,7.92698323862702
50277,50041,2.11551362172937
50278,50268,1.4023402956399
50278,50335,0.40540676569222
50279,50265,0.435509307528192
50279,50327,0.870885535607415
50280,50611,0.657963069269315
50280,50399,1.10019331611768
50280,50247,1.36358196070576
50281,50331,0.419810924357382
50281,50230,0.812171097386646
50282,50306,6.34137864353474
50282,50276,0.663236877541383
50282,50341,13.529973843225958
50282,50282,21.0741392216904
50282,50154,18.49310484016258
50282,50030,10.848143220221703
50282,50079,3.1998078648912
50283,50128,5.5259211015105105
50283,50179,2.68882842925845
50283,50084,5.15986495607099
50283,50295,5.32935107800665
50283,50011,2.13121949446625
50283,50283,2.261291537447896
50283,50163,9.046440413238301
50284,50660,0.550264579964398
50284,50373,0.647560258191187
50285,50203,3.50110247851584
50285,50093,2.31781943035964
50286,50322,1.21135730664778
50286,50451,1.71444585597962
50286,50501,2.42025533785344
50286,50486,2.63399795989939
50286,50327,0.57677334686237
